Date,Open,High,Low,Close,Adj Close,Volume
12/3/2018,120.143402,121.022942,118.891014,119.799232,98.53006,6115334
12/4/2018,119.015297,119.426384,115.994263,116.252388,95.612915,6276732
12/6/2018,114.45507,118.4608,114.053535,118.4608,97.429268,7257148
12/7/2018,118.451241,118.594643,113.642448,114.091782,93.835899,7342502
12/10/2018,114.47419,116.328873,113.307838,115.803062,95.24337,6850777
12/11/2018,117.829826,118.365204,114.722755,115.573616,95.054665,5275083
12/12/2018,117.122368,117.476097,115.67878,115.831741,95.266945,3724283
12/13/2018,115.927345,116.434036,114.885277,115.420647,94.928841,4177306
12/14/2018,114.244743,115.783936,114.187378,114.627151,94.276237,4763693
12/17/2018,113.833649,114.512428,110.00956,110.994263,91.28833,7713727
12/18/2018,111.759079,113.030594,110.917786,111.520073,91.720787,6579549
12/19/2018,111.998085,114.980881,110.86998,111.309753,91.547806,7300871
12/20/2018,110.611855,111.328873,106.787766,108.049713,88.866547,8843302
12/21/2018,107.552582,110.210327,105.583176,106.061188,87.231071,10864279
12/24/2018,105.066925,106.118546,102.772469,102.839386,84.581245,3997184
12/26/2018,103.250481,106.491394,101.281075,106.491394,87.584908,6951507
12/27/2018,105.152962,108.776291,104.65583,108.776291,89.464149,6323698
12/28/2018,109.196938,109.751434,107.552582,108.059273,88.874413,5352905
12/31/2018,108.346077,109.32122,107.476097,108.671127,89.37764,5212009
1/2/2019,107.084129,110.879539,106.778206,110.143402,90.588516,4434935
1/3/2019,109.493309,109.827919,107.734222,107.94455,88.78006,4546648
1/4/2019,109.856598,112.323135,109.407265,112.160614,92.24762,4683779
1/7/2019,112.332695,113.60421,111.5392,112.954109,92.900215,3923755
1/8/2019,114.397705,115.267685,113.747612,114.560226,94.221176,4982726
1/9/2019,115.592735,116.061188,114.598473,115.382408,94.897392,3800850
1/10/2019,114.799232,116.500954,114.67495,116.434036,95.762337,4089860
1/11/2019,116.233269,116.271507,114.913956,116.118546,95.502838,3893630
1/14/2019,115.210327,115.34417,114.493309,115.095604,94.661522,5469220
1/15/2019,115.640533,116.567879,115.506691,116.376671,95.715141,3668845
1/16/2019,116.233269,116.634796,115.516251,116.271507,95.628647,4017791
1/17/2019,115.258125,117.026772,115.248566,116.816444,96.076843,5261275
1/18/2019,117.848946,119.235184,117.313576,118.374763,97.358482,6284891
1/22/2019,117.877632,118.355644,116.19503,117.131927,96.336296,10514810
1/23/2019,125.592735,129.063095,124.579353,127.045891,104.490135,23078630
1/24/2019,126.797325,127.351814,125.650093,126.701721,104.207085,6613753
1/25/2019,127.026772,128.527725,126.606117,128.0784,105.339348,5969940
1/28/2019,127.246651,128.881454,126.749519,128.365204,105.575233,5604154
1/29/2019,128.384323,129.455063,127.724663,128.422562,105.622398,5268807
1/30/2019,128.107071,129.091782,127.39006,128.470367,105.661713,4707941
1/31/2019,128.537292,128.79541,127.858505,128.508606,105.693169,5108664
2/1/2019,129.034424,129.254303,127.485657,128.202682,105.441566,3981076
2/4/2019,128.12619,129.254303,127.141495,129.244736,106.298592,4149064
2/5/2019,129.33078,129.847031,128.986618,129.588913,106.581696,5647249
2/6/2019,129.273422,130.640533,129.225616,130.325043,107.187111,5104166
2/7/2019,127.676865,128.556412,126.309753,127.332695,105.946213,4580852
2/8/2019,126.520073,127.829826,126.376671,127.829826,106.359848,3399291
2/11/2019,128.384323,129.206497,128.021027,128.097519,106.582588,3237475
2/12/2019,129.206497,130.210327,128.92926,130.066925,108.221207,3469791
2/13/2019,130.898666,131.854691,130.411087,131.472275,109.390533,4448638
2/14/2019,131.137665,131.548752,130.219879,130.478012,108.563263,2917712
2/15/2019,131.529633,132.112808,131.347992,131.959854,109.796196,4020929
2/19/2019,131.749527,132.600388,131.319305,132.600388,110.32917,3541442
2/20/2019,132.657745,133.116638,131.185471,131.931168,109.772346,3976892
2/21/2019,131.759079,132.265778,131.309753,131.778198,109.64505,3072416
2/22/2019,132.629059,133.250473,132.342255,133.12619,110.766655,3256930
2/25/2019,133.843216,134.292542,133.193115,133.326965,110.933708,3341133
2/26/2019,133.527725,134.311661,133.336517,133.575531,111.140511,3201178
2/27/2019,133.12619,133.432129,132.313583,133.049713,110.703011,2647321
2/28/2019,132.667297,132.94455,131.663483,132.05545,109.875778,3616859
3/1/2019,133.183563,133.881454,132.543015,133.0784,110.726883,3169380
3/4/2019,133.833649,133.919693,131.137665,132.342255,110.114388,3563617
3/5/2019,132.284897,132.638626,131.510513,131.816437,109.676888,4445814
3/6/2019,132.045883,132.304016,130.707458,130.956024,108.960968,2895642
3/7/2019,130.602295,130.86998,128.709366,129.407272,107.672356,4559305
3/8/2019,128.307846,129.292542,127.705544,129.149139,107.457581,3947186
3/11/2019,130.047806,131.673035,129.86615,131.653915,109.541656,4120508
